euroc_v102_752/5000/2 : {'above_tracked': 1053, 'above_total': 1096, 'below_tracked': 595, 'below_total': 614}
euroc_v102_752/5000/3 : {'above_tracked': 1028, 'above_total': 1096, 'below_tracked': 558, 'below_total': 614}
euroc_v102_752/10000/1 : {'above_tracked': 286, 'above_total': 292, 'below_tracked': 1235, 'below_total': 1418}
euroc_v102_752/10000/2 : {'above_tracked': 286, 'above_total': 292, 'below_tracked': 1094, 'below_total': 1418}
euroc_v102_752/10000/3 : {'above_tracked': 286, 'above_total': 292, 'below_tracked': 1105, 'below_total': 1418}
euroc_v103_752/500/1 : {'above_tracked': 1990, 'above_total': 2149, 'below_tracked': 0, 'below_total': 0}
euroc_v103_752/500/2 : {'above_tracked': 2087, 'above_total': 2149, 'below_tracked': 0, 'below_total': 0}
euroc_v103_752/500/3 : {'above_tracked': 2026, 'above_total': 2149, 'below_tracked': 0, 'below_total': 0}
euroc_v103_752/750/1 : {'above_tracked': 2028, 'above_total': 2149, 'below_tracked': 0, 'below_total': 0}
euroc_v103_752/750/2 : {'above_tracked': 2149, 'above_total': 2149, 'below_tracked': 0, 'below_total': 0}
euroc_v103_752/750/3 : {'above_tracked': 1977, 'above_total': 2149, 'below_tracked': 0, 'below_total': 0}
euroc_v103_752/1000/1 : {'above_tracked': 2084, 'above_total': 2145, 'below_tracked': 4, 'below_total': 4}
euroc_v103_752/1000/2 : {'above_tracked': 2024, 'above_total': 2145, 'below_tracked': 4, 'below_total': 4}
euroc_v103_752/1000/3 : {'above_tracked': 2058, 'above_total': 2145, 'below_tracked': 4, 'below_total': 4}
euroc_v103_752/1250/1 : {'above_tracked': 2083, 'above_total': 2144, 'below_tracked': 5, 'below_total': 5}
euroc_v103_752/1250/2 : {'above_tracked': 2083, 'above_total': 2144, 'below_tracked': 5, 'below_total': 5}
euroc_v103_752/1250/3 : {'above_tracked': 2022, 'above_total': 2144, 'below_tracked': 5, 'below_total': 5}
euroc_v103_752/2500/1 : {'above_tracked': 1606, 'above_total': 1667, 'below_tracked': 455, 'below_total': 482}
